timestamp,rel_alt
1746613977.7799606,-0.385
1746613977.8460884,0.039
1746613977.9037244,0.323
1746613977.9581037,1.041
1746613978.0164502,1.607
1746613978.0642948,1.946
1746613978.118586,2.001
1746613978.1609628,2.068
1746613978.2038753,2.137
1746613978.2463262,2.199
1746613978.2896538,2.257
1746613978.3339858,2.304
1746613978.378259,2.34
1746613978.4214938,2.363
1746613978.4674413,2.38
1746613978.5094147,2.403
1746613978.5504446,2.431
1746613978.595975,2.457
1746613978.6394954,2.473
1746613978.6721478,2.489
1746613978.713336,2.508
1746613978.7440841,2.535
1746613978.8045952,2.572
1746613978.907069,2.628
1746613979.0127363,2.728
1746613979.0882735,2.802
1746613979.5543263,2.826
1746613979.6157436,2.837
1746613979.6564202,2.855
1746613979.6986332,2.867
1746613979.7258022,2.887
1746613979.757209,2.926
1746613979.7829099,2.956
1746613979.8698382,2.951
1746613979.9658804,2.927
1746613980.0468688,2.892
1746613980.174327,2.871
1746613980.2324646,2.886
1746613980.345795,2.946
1746613980.425394,2.993
1746613980.5235581,3.019
1746613980.6274366,3.069
1746613980.716464,3.145
1746613980.8242996,3.197
1746613980.9094696,3.207
1746613981.0047133,3.224
1746613981.117644,3.285
1746613981.1965733,3.326
1746613981.2995658,3.362
1746613981.3898335,3.425
1746613981.486943,3.495
1746613981.599453,3.525
1746613981.6797578,3.52
1746613981.7795477,3.521
1746613981.8916461,3.579
1746613981.9776535,3.625
1746613982.0822384,3.661
1746613982.1618068,3.733
1746613982.2582138,3.782
1746613982.3538601,3.802
1746613982.4567318,3.811
1746613982.5563812,3.852
1746613982.6431577,3.893
1746613982.741908,3.92
1746613982.835705,3.956
1746613982.9377618,4.0
1746613983.0387006,4.018
1746613983.1355355,4.013
1746613983.2268734,4.028
1746613983.3190978,4.063
1746613983.4149818,4.089
1746613983.5244799,4.114
1746613983.6069393,4.153
1746613983.708768,4.188
1746613983.7995458,4.183
1746613983.9017015,4.137
1746613984.0127633,4.113
1746613984.090919,4.114
1746613984.1997492,4.122
1746613984.2824075,4.162
1746613984.3839278,4.205
1746613984.4955516,4.208
1746613984.5725436,4.179
1746613984.6685417,4.184
1746613984.7651417,4.209
1746613984.8603625,4.23
1746613984.9695702,4.243
1746613985.0561833,4.277
1746613985.1531334,4.272
1746613985.2489958,4.232
1746613985.3801148,4.212
1746613985.4575706,4.234
1746613985.5372562,4.256
1746613985.6345875,4.264
1746613985.7293346,4.289
1746613985.8266869,4.301
1746613985.940678,4.285
1746613986.0196073,4.253
1746613986.1213987,4.254
1746613986.2116861,4.253
1746613986.3116834,4.239
1746613986.4151564,4.246
1746613986.5002422,4.251
